,Unnamed: 0,Subject,Datafile,Label
0,0,Subject01,Subject01/Subject01_Aufnahme000.csv,curve-left-step
1,1,Subject01,Subject01/Subject01_Aufnahme001.csv,v-cut-left-Rfirst
2,2,Subject01,Subject01/Subject01_Aufnahme002.csv,curve-right-spin-Lfirst
3,3,Subject01,Subject01/Subject01_Aufnahme003.csv,stand-to-sit
4,4,Subject01,Subject01/Subject01_Aufnahme004.csv,stair-down
5,5,Subject01,Subject01/Subject01_Aufnahme005.csv,v-cut-right-Rfirst
6,6,Subject01,Subject01/Subject01_Aufnahme006.csv,curve-right-step
7,7,Subject01,Subject01/Subject01_Aufnahme007.csv,stand
8,8,Subject01,Subject01/Subject01_Aufnahme008.csv,curve-right-spin-Lfirst
9,9,Subject01,Subject01/Subject01_Aufnahme009.csv,curve-left-step
10,10,Subject01,Subject01/Subject01_Aufnahme010.csv,curve-right-spin-Lfirst
11,11,Subject01,Subject01/Subject01_Aufnahme011.csv,v-cut-right-Lfirst
12,12,Subject01,Subject01/Subject01_Aufnahme012.csv,stand-to-sit
13,13,Subject01,Subject01/Subject01_Aufnahme013.csv,lateral-shuffle-right
14,14,Subject01,Subject01/Subject01_Aufnahme014.csv,v-cut-right-Rfirst
15,15,Subject01,Subject01/Subject01_Aufnahme015.csv,v-cut-left-Rfirst
16,16,Subject01,Subject01/Subject01_Aufnahme016.csv,run
17,17,Subject01,Subject01/Subject01_Aufnahme017.csv,stand-to-sit
18,18,Subject01,Subject01/Subject01_Aufnahme018.csv,v-cut-right-Lfirst
19,19,Subject01,Subject01/Subject01_Aufnahme019.csv,curve-left-spin-Lfirst
20,20,Subject01,Subject01/Subject01_Aufnahme020.csv,curve-right-spin-Lfirst
21,21,Subject01,Subject01/Subject01_Aufnahme021.csv,stair-up
22,22,Subject01,Subject01/Subject01_Aufnahme022.csv,sit
23,23,Subject01,Subject01/Subject01_Aufnahme023.csv,stand-to-sit
24,24,Subject01,Subject01/Subject01_Aufnahme024.csv,stand-to-sit
25,25,Subject01,Subject01/Subject01_Aufnahme025.csv,sit
26,26,Subject01,Subject01/Subject01_Aufnahme026.csv,curve-right-spin-Lfirst
27,27,Subject01,Subject01/Subject01_Aufnahme027.csv,jump-two-leg
28,28,Subject01,Subject01/Subject01_Aufnahme028.csv,stand-to-sit
29,29,Subject01,Subject01/Subject01_Aufnahme029.csv,stair-down
30,30,Subject01,Subject01/Subject01_Aufnahme030.csv,curve-right-spin-Lfirst
31,31,Subject01,Subject01/Subject01_Aufnahme031.csv,curve-right-spin-Lfirst
32,32,Subject01,Subject01/Subject01_Aufnahme032.csv,v-cut-left-Rfirst
33,33,Subject01,Subject01/Subject01_Aufnahme033.csv,v-cut-right-Rfirst
34,34,Subject01,Subject01/Subject01_Aufnahme034.csv,curve-left-step
35,35,Subject01,Subject01/Subject01_Aufnahme035.csv,curve-right-spin-Lfirst
36,36,Subject01,Subject01/Subject01_Aufnahme036.csv,v-cut-right-Rfirst
37,37,Subject01,Subject01/Subject01_Aufnahme037.csv,stair-down
38,38,Subject01,Subject01/Subject01_Aufnahme038.csv,jump-one-leg
39,39,Subject01,Subject01/Subject01_Aufnahme039.csv,walk
40,40,Subject01,Subject01/Subject01_Aufnahme040.csv,jump-two-leg
41,41,Subject01,Subject01/Subject01_Aufnahme041.csv,curve-left-step
42,42,Subject01,Subject01/Subject01_Aufnahme042.csv,jump-one-leg
43,43,Subject01,Subject01/Subject01_Aufnahme043.csv,jump-two-leg
44,44,Subject01,Subject01/Subject01_Aufnahme044.csv,sit-to-stand
45,45,Subject01,Subject01/Subject01_Aufnahme045.csv,stair-up
46,46,Subject01,Subject01/Subject01_Aufnahme046.csv,stair-down
47,47,Subject01,Subject01/Subject01_Aufnahme047.csv,curve-left-step
48,48,Subject01,Subject01/Subject01_Aufnahme048.csv,stand-to-sit
49,49,Subject01,Subject01/Subject01_Aufnahme049.csv,stand-to-sit
50,50,Subject01,Subject01/Subject01_Aufnahme050.csv,lateral-shuffle-left
51,51,Subject01,Subject01/Subject01_Aufnahme051.csv,curve-right-step
52,52,Subject01,Subject01/Subject01_Aufnahme052.csv,stair-up
53,53,Subject01,Subject01/Subject01_Aufnahme053.csv,curve-left-step
54,54,Subject01,Subject01/Subject01_Aufnahme054.csv,v-cut-right-Rfirst
55,55,Subject01,Subject01/Subject01_Aufnahme055.csv,curve-right-spin-Lfirst
56,56,Subject01,Subject01/Subject01_Aufnahme056.csv,stair-up
57,57,Subject01,Subject01/Subject01_Aufnahme057.csv,curve-left-step
58,58,Subject01,Subject01/Subject01_Aufnahme058.csv,lateral-shuffle-left
59,59,Subject01,Subject01/Subject01_Aufnahme059.csv,curve-left-step
60,60,Subject01,Subject01/Subject01_Aufnahme060.csv,curve-right-spin-Lfirst
61,61,Subject01,Subject01/Subject01_Aufnahme061.csv,curve-right-spin-Lfirst
62,62,Subject01,Subject01/Subject01_Aufnahme062.csv,v-cut-right-Rfirst
63,63,Subject01,Subject01/Subject01_Aufnahme063.csv,jump-two-leg
64,64,Subject01,Subject01/Subject01_Aufnahme064.csv,curve-left-spin-Lfirst
65,65,Subject01,Subject01/Subject01_Aufnahme065.csv,stair-down
66,66,Subject01,Subject01/Subject01_Aufnahme066.csv,stand-to-sit
67,67,Subject01,Subject01/Subject01_Aufnahme067.csv,curve-left-spin-Lfirst
