,Subject,Datafile,Label
0,Subject01,Subject01/Subject01_Aufnahme000.csv,stand
1,Subject01,Subject01/Subject01_Aufnahme001.csv,jump-one-leg
2,Subject01,Subject01/Subject01_Aufnahme002.csv,lateral-shuffle-right
3,Subject01,Subject01/Subject01_Aufnahme003.csv,v-cut-left-Lfirst
4,Subject01,Subject01/Subject01_Aufnahme004.csv,curve-left-step
5,Subject01,Subject01/Subject01_Aufnahme005.csv,stair-up
6,Subject01,Subject01/Subject01_Aufnahme006.csv,curve-right-spin-Rfirst
7,Subject01,Subject01/Subject01_Aufnahme007.csv,v-cut-right-Rfirst
8,Subject01,Subject01/Subject01_Aufnahme008.csv,stair-down
9,Subject01,Subject01/Subject01_Aufnahme009.csv,stair-down
10,Subject01,Subject01/Subject01_Aufnahme010.csv,stand-to-sit
11,Subject01,Subject01/Subject01_Aufnahme011.csv,curve-left-spin-Lfirst
12,Subject01,Subject01/Subject01_Aufnahme012.csv,stand
13,Subject01,Subject01/Subject01_Aufnahme013.csv,v-cut-left-Lfirst
14,Subject01,Subject01/Subject01_Aufnahme014.csv,curve-left-step
15,Subject01,Subject01/Subject01_Aufnahme015.csv,curve-left-spin-Rfirst
16,Subject01,Subject01/Subject01_Aufnahme016.csv,v-cut-right-Rfirst
17,Subject01,Subject01/Subject01_Aufnahme017.csv,lateral-shuffle-left
18,Subject01,Subject01/Subject01_Aufnahme018.csv,curve-right-spin-Rfirst
19,Subject01,Subject01/Subject01_Aufnahme019.csv,stair-up
20,Subject01,Subject01/Subject01_Aufnahme020.csv,walk
21,Subject01,Subject01/Subject01_Aufnahme021.csv,run
22,Subject01,Subject01/Subject01_Aufnahme022.csv,curve-left-spin-Rfirst
23,Subject01,Subject01/Subject01_Aufnahme023.csv,v-cut-left-Rfirst
24,Subject01,Subject01/Subject01_Aufnahme024.csv,v-cut-right-Lfirst
25,Subject01,Subject01/Subject01_Aufnahme025.csv,lateral-shuffle-left
26,Subject01,Subject01/Subject01_Aufnahme026.csv,stair-up
27,Subject01,Subject01/Subject01_Aufnahme027.csv,v-cut-right-Rfirst
28,Subject01,Subject01/Subject01_Aufnahme028.csv,v-cut-right-Rfirst
29,Subject01,Subject01/Subject01_Aufnahme029.csv,stand-to-sit
30,Subject01,Subject01/Subject01_Aufnahme030.csv,v-cut-right-Rfirst
31,Subject01,Subject01/Subject01_Aufnahme031.csv,curve-left-spin-Lfirst
32,Subject01,Subject01/Subject01_Aufnahme032.csv,lateral-shuffle-right
33,Subject01,Subject01/Subject01_Aufnahme033.csv,lateral-shuffle-right
34,Subject01,Subject01/Subject01_Aufnahme034.csv,curve-left-spin-Lfirst
35,Subject01,Subject01/Subject01_Aufnahme035.csv,stand-to-sit
36,Subject01,Subject01/Subject01_Aufnahme036.csv,v-cut-left-Rfirst
