,Subject,Datafile,Label
0,Subject02,Subject02/Subject02_Aufnahme000.csv,curve-left-step
1,Subject02,Subject02/Subject02_Aufnahme001.csv,curve-left-step
2,Subject02,Subject02/Subject02_Aufnahme002.csv,stand-to-sit
3,Subject02,Subject02/Subject02_Aufnahme003.csv,curve-right-spin-Rfirst
4,Subject02,Subject02/Subject02_Aufnahme005.csv,lateral-shuffle-right
5,Subject02,Subject02/Subject02_Aufnahme006.csv,curve-right-spin-Lfirst
6,Subject02,Subject02/Subject02_Aufnahme007.csv,v-cut-right-Lfirst
7,Subject02,Subject02/Subject02_Aufnahme009.csv,v-cut-left-Rfirst
8,Subject02,Subject02/Subject02_Aufnahme010.csv,v-cut-right-Rfirst
9,Subject02,Subject02/Subject02_Aufnahme011.csv,jump-two-leg
10,Subject02,Subject02/Subject02_Aufnahme012.csv,sit
11,Subject02,Subject02/Subject02_Aufnahme013.csv,stair-up
12,Subject02,Subject02/Subject02_Aufnahme014.csv,curve-right-step
13,Subject02,Subject02/Subject02_Aufnahme015.csv,sit-to-stand
14,Subject02,Subject02/Subject02_Aufnahme016.csv,run
15,Subject02,Subject02/Subject02_Aufnahme017.csv,curve-right-spin-Lfirst
16,Subject02,Subject02/Subject02_Aufnahme018.csv,curve-right-step
17,Subject02,Subject02/Subject02_Aufnahme019.csv,v-cut-left-Lfirst
18,Subject02,Subject02/Subject02_Aufnahme020.csv,sit-to-stand
19,Subject02,Subject02/Subject02_Aufnahme021.csv,stand
20,Subject02,Subject02/Subject02_Aufnahme022.csv,v-cut-left-Lfirst
21,Subject02,Subject02/Subject02_Aufnahme023.csv,v-cut-right-Rfirst
22,Subject02,Subject02/Subject02_Aufnahme024.csv,curve-right-spin-Lfirst
23,Subject02,Subject02/Subject02_Aufnahme026.csv,jump-two-leg
24,Subject02,Subject02/Subject02_Aufnahme027.csv,v-cut-left-Rfirst
25,Subject02,Subject02/Subject02_Aufnahme028.csv,v-cut-right-Rfirst
26,Subject02,Subject02/Subject02_Aufnahme029.csv,stair-up
27,Subject02,Subject02/Subject02_Aufnahme030.csv,sit-to-stand
28,Subject02,Subject02/Subject02_Aufnahme031.csv,curve-left-spin-Lfirst
29,Subject02,Subject02/Subject02_Aufnahme032.csv,walk
30,Subject02,Subject02/Subject02_Aufnahme033.csv,sit
31,Subject02,Subject02/Subject02_Aufnahme034.csv,curve-left-spin-Lfirst
32,Subject02,Subject02/Subject02_Aufnahme035.csv,jump-two-leg
33,Subject02,Subject02/Subject02_Aufnahme037.csv,lateral-shuffle-left
34,Subject02,Subject02/Subject02_Aufnahme038.csv,sit-to-stand
35,Subject02,Subject02/Subject02_Aufnahme039.csv,stair-up
36,Subject02,Subject02/Subject02_Aufnahme041.csv,stair-down
37,Subject02,Subject02/Subject02_Aufnahme042.csv,sit
38,Subject02,Subject02/Subject02_Aufnahme043.csv,curve-right-spin-Lfirst
39,Subject02,Subject02/Subject02_Aufnahme044.csv,v-cut-right-Lfirst
40,Subject02,Subject02/Subject02_Aufnahme045.csv,v-cut-right-Lfirst
41,Subject02,Subject02/Subject02_Aufnahme046.csv,curve-left-spin-Rfirst
42,Subject02,Subject02/Subject02_Aufnahme047.csv,curve-right-step
43,Subject02,Subject02/Subject02_Aufnahme048.csv,run
44,Subject02,Subject02/Subject02_Aufnahme049.csv,walk
45,Subject02,Subject02/Subject02_Aufnahme051.csv,run
46,Subject02,Subject02/Subject02_Aufnahme052.csv,curve-right-spin-Rfirst
47,Subject02,Subject02/Subject02_Aufnahme053.csv,sit
48,Subject02,Subject02/Subject02_Aufnahme054.csv,jump-one-leg
49,Subject02,Subject02/Subject02_Aufnahme055.csv,curve-right-spin-Rfirst
50,Subject02,Subject02/Subject02_Aufnahme056.csv,v-cut-left-Lfirst
51,Subject02,Subject02/Subject02_Aufnahme057.csv,curve-left-spin-Lfirst
